epoch,epsilon,states_viewed,avg_sum_of_rewards,win_rate
0,0.5,11151,-1119.7984,0.0
1,0.49,21181,-1118.2196000000001,0.0
2,0.48,29440,-1122.2806,0.02
3,0.47,36733,-1104.0532,0.0
epoch,epsilon,states_viewed,avg_sum_of_rewards,win_rate
0,0.5,8945,-1083.4137999999998,0.0
1,0.49,16373,-1083.128,0.0
epoch,epsilon,states_viewed,avg_sum_of_rewards,win_rate
0,0.5,9057,-1096.9173999999998,0.0
1,0.49,16708,-1087.7166000000002,0.0
2,0.48,23737,-1077.7122000000002,0.0
3,0.47,30969,-1083.507,0.0
4,0.45999999999999996,36847,-1086.7282,0.0
5,0.44999999999999996,42420,-1089.1283999999998,0.0
6,0.43999999999999995,48654,-1098.215,0.0
7,0.42999999999999994,54173,-1086.7488,0.0
8,0.41999999999999993,59433,-1077.0146000000002,0.0
9,0.4099999999999999,64771,-1090.5444,0.0
10,0.3999999999999999,70512,-1090.8673999999999,0.0
11,0.3899999999999999,75377,-1083.8572,0.0
12,0.3799999999999999,79446,-1084.2892,0.0
13,0.3699999999999999,83632,-1076.8286,0.0
14,0.3599999999999999,88113,-1087.2338,0.0
15,0.34999999999999987,93061,-1099.5846000000001,0.0
16,0.33999999999999986,98261,-1105.536,0.0
17,0.32999999999999985,102581,-1087.408,0.0
18,0.31999999999999984,107367,-1087.1348,0.0
19,0.30999999999999983,111562,-1079.6598000000001,0.0
20,0.2999999999999998,115429,-1106.6572,0.0
21,0.2899999999999998,120251,-1070.4782000000002,0.0
22,0.2799999999999998,124538,-1066.2067999999997,0.0
23,0.2699999999999998,128993,-1100.9311999999998,0.0
24,0.2599999999999998,132639,-1090.7536,0.0
25,0.24999999999999978,136488,-1105.0532,0.01
26,0.23999999999999977,140607,-1099.0952000000002,0.0
27,0.22999999999999976,145037,-1090.3507999999997,0.0
28,0.21999999999999975,149709,-1085.339,0.0
29,0.20999999999999974,153961,-1097.6773999999998,0.0
30,0.19999999999999973,158332,-1091.3824,0.0
31,0.18999999999999972,162150,-1081.1003999999998,0.0
32,0.17999999999999972,166689,-1116.295,0.0
33,0.1699999999999997,170814,-1095.8116,0.0
34,0.1599999999999997,175085,-1097.3128000000004,0.0
35,0.1499999999999997,178946,-1103.8056000000001,0.0
36,0.13999999999999968,183299,-1100.627,0.0
37,0.12999999999999967,187467,-1097.8716000000002,0.0
38,0.11999999999999968,191319,-1083.5734,0.0
39,0.10999999999999968,195497,-1098.6536,0.0
40,0.09999999999999969,199344,-1092.2756000000002,0.01
41,0.08999999999999969,203439,-1110.2543999999998,0.0
42,0.0799999999999997,207246,-1108.7038,0.0
43,0.0699999999999997,211204,-1114.7372,0.0
44,0.0599999999999997,214852,-1092.0032,0.0
45,0.0499999999999997,219124,-1109.5412,0.0
46,0.039999999999999696,223177,-1098.4472000000003,0.0
47,0.029999999999999694,227177,-1110.475,0.0
48,0.01999999999999969,230851,-1095.404,0.01
49,0.009999999999999691,234925,-1104.2396,0.0
epoch,epsilon,states_viewed,avg_sum_of_rewards,win_rate
0,0.5,9319,-106.2098,0.0
1,0.49,16312,-103.17140000000002,0.0
2,0.48,22640,-92.01940000000002,0.0
3,0.47,28953,-58.12140000000003,0.01
4,0.45999999999999996,34986,-75.16980000000004,0.0
5,0.44999999999999996,40451,-73.22080000000001,0.0
6,0.43999999999999995,45890,-64.22080000000003,0.0
7,0.42999999999999994,51204,-55.34900000000002,0.01
8,0.41999999999999993,55819,-70.24580000000002,0.0
9,0.4099999999999999,61206,-76.27360000000003,0.0
10,0.3999999999999999,65407,-72.73060000000002,0.0
11,0.3899999999999999,69715,-63.29460000000002,0.0
12,0.3799999999999999,73798,-70.37180000000002,0.0
13,0.3699999999999999,78199,-45.33180000000002,0.01
14,0.3599999999999999,82377,-37.256200000000035,0.0
15,0.34999999999999987,86482,-45.52980000000002,0.0
16,0.33999999999999986,90562,-52.664400000000015,0.0
17,0.32999999999999985,94376,-69.06700000000004,0.0
18,0.31999999999999984,98292,-35.85040000000002,0.0
19,0.30999999999999983,101753,-48.33760000000002,0.0
20,0.2999999999999998,104885,-56.19400000000002,0.0
21,0.2899999999999998,108422,-61.436000000000014,0.0
22,0.2799999999999998,111445,-58.978400000000015,0.0
23,0.2699999999999998,115157,-61.03500000000002,0.0
24,0.2599999999999998,118369,-55.073400000000014,0.0
25,0.24999999999999978,121631,-29.757200000000026,0.0
26,0.23999999999999977,124598,-51.54800000000003,0.0
27,0.22999999999999976,127922,-35.458200000000026,0.0
28,0.21999999999999975,131311,-27.450800000000026,0.0
29,0.20999999999999974,134053,-44.47560000000002,0.0
30,0.19999999999999973,137135,-27.791000000000018,0.01
31,0.18999999999999972,139956,-52.50080000000002,0.0
32,0.17999999999999972,142971,-42.87840000000002,0.0
33,0.1699999999999997,145783,-37.87320000000002,0.0
34,0.1599999999999997,148493,-15.411400000000025,0.0
35,0.1499999999999997,151232,-26.787000000000024,0.0
36,0.13999999999999968,154001,-25.213400000000025,0.0
37,0.12999999999999967,156651,-44.20360000000002,0.0
38,0.11999999999999968,159771,-4.572600000000031,0.0
39,0.10999999999999968,162129,-25.55640000000003,0.0
40,0.09999999999999969,164517,-33.637400000000014,0.0
41,0.08999999999999969,166923,-31.485200000000017,0.0
42,0.0799999999999997,169338,-26.336000000000006,0.0
43,0.0699999999999997,171659,-44.05320000000002,0.0
44,0.0599999999999997,173950,-23.481000000000016,0.0
45,0.0499999999999997,176097,2.997199999999982,0.0
46,0.039999999999999696,178446,-11.101600000000026,0.0
47,0.029999999999999694,180711,-13.505400000000009,0.0
48,0.01999999999999969,182791,-15.42220000000001,0.01
49,0.009999999999999691,184790,-24.19980000000001,0.0
